regime,metric,raw_value,controlled_value,abs_correction,relative_correction
STABLE,quote_vol,1.996329665184021,1.996329665184021,0.0,0.0
STABLE,quote_price,8.208538248435405,8.208538248435405,0.0,0.0
STABLE,surface_mean_vol,1.9966527620951335,0.9198588132858276,1.076793948809306,0.5392995563632212
STABLE,shock_score,0.6228844119118957,0.6228844119118957,0.0,0.0
TRANSITION,quote_vol,1.8420056104660034,2.0903726139193446,0.24836700345334117,0.13483509607253996
TRANSITION,quote_price,7.567706313337613,8.596142092869458,1.0284357795318453,0.13589795070658212
TRANSITION,surface_mean_vol,1.8369434277216594,0.9740943511327108,0.8628490765889486,0.4697200052911432
TRANSITION,shock_score,0.5931518055507476,0.6528844119118957,0.05973260636114808,0.10070374194627248
STRESS,quote_vol,1.9907028675079346,2.1321800661977317,0.14147719868979713,0.07106896815138748
STRESS,quote_price,8.18527555191,8.767714659790036,0.5824391078800364,0.07115693346989727
STRESS,surface_mean_vol,1.9892525275548298,0.9935762381553651,0.9956762893994647,0.5005278493341117
STRESS,shock_score,0.6211257426977234,0.6828844119118958,0.06175866921417239,0.09943021995182033
