layer,regime,quote_vol,quote_price,surface_mean_vol,shock_score,shock_risk
raw,STABLE,1.996329665184021,8.208538248435405,1.9966527620951335,0.6228844119118957,MODERATE
rule_controlled,STABLE,1.870605449972087,7.6868999037299695,0.8341660460948388,0.5823873200534556,LOW
learned_controlled,STABLE,1.870605449972087,7.6868999037299695,0.8379779763588567,0.5831578969955444,LOW
mixed_controlled,STABLE,1.870605449972087,7.6868999037299695,0.8379779763588567,0.5831578969955444,LOW
raw,TRANSITION,1.8420056104660034,7.567706313337613,1.8369434277216594,0.5931518055507476,MODERATE
rule_controlled,TRANSITION,1.9587257917692047,8.05292346187511,0.8734618778794219,0.6123873200534556,MODERATE
learned_controlled,TRANSITION,1.9587257917692047,8.05292346187511,0.8740082800831476,0.6125832796096802,MODERATE
mixed_controlled,TRANSITION,1.9587257917692047,8.05292346187511,0.8740082800831476,0.6125832796096802,MODERATE
raw,STRESS,1.9907028675079346,8.18527555191,1.9892525275548298,0.6211257426977234,MODERATE
rule_controlled,STRESS,1.997900307604589,8.215030285942072,0.8909311154370103,0.6423873200534556,HIGH
learned_controlled,STRESS,1.997900307604589,8.215030285942072,0.8927753476052122,0.6401736736297607,HIGH
mixed_controlled,STRESS,1.997900307604589,8.215030285942072,0.8927753476052122,0.6401736736297607,HIGH
